"","keyword","salary"
"1","신용카드사,고객상담,고객지원,아웃바운드,증권·보험·카드,콜센터상담,해피콜","2,200~2,400만원"
"2","치과,병원코디네이터","회사내규에 따름"
"3","부동산개발,아파트,임대컨설팅,부동산,부동산영업,부동산컨설팅,아웃바운드","5,000~6,000만원"
"4","세무법인,세무회계사무소,회계법인,4대보험,기장·장부정리,더존,부가세신고,세무,전산회계,전표입력,회계","면접후 결정"
"5","산부인과,간호조무사","면접후 결정"
"6","연구원,요리사,푸드스타일리스트","회사내규에 따름"
"7","한의원,간호조무사,한의원","2,400~2,600만원"
"8","수영장,테마파크,간호사,간호조무사","2,800~3,000만원"
"9","자동차,3D설계,CAD,catia,자동차·조선설계","회사내규에 따름"
"10","ERP,SI·시스템통합,SM,소프트웨어개발,Java·JSP","면접후 결정"
"11","금속,철강,공업디자인,금속디자인,산업디자인","면접후 결정"
"12","입시학원,입시학원강사","면접후 결정"
"13","모델하우스,안내데스크","230"
"14","안과,병원코디네이터","면접후 결정"
"15","광고영업,고객상담,영업관리,영업기획,일러스트레이터,포토샵","면접후 결정"
"16","수영장,테마파크,기계설비,시설관리,안전","3,200~3,400만원"
"17","안과,검안사,안경사","면접후 결정"
"18","복지시설,장애시설,사회복지,특수교사","회사내규에 따름"
"19","광고기획사,광고대행사,광고,광고관리,광고기획,기획,마케팅전략·기획,매체분석 구매,미디어플래닝,전략기획,홍보,홍보기획","회사내규에 따름"
"20","치과,간호조무사,치과조무사","면접후 결정"
"21","안과,간호조무사","면접후 결정"
"22","치과,병원코디네이터,원무행정,전화교환·안내,접수·수납·예약","면접후 결정"
"23","ERP,SI·시스템통합,SM,소프트웨어개발,Java·JSP","면접후 결정"
"24","영어학원,어학원강사,영어,영어회화","면접후 결정"
"25","식품·푸드,음식료,매니져,서비스,지배인","면접후 결정"
"26","바이오,생명공학,Excel·도표,OA,경영지원,사무,자료조사,전산입력·편집","회사내규에 따름"
"27","한의원,간호조무사,병원코디네이터,원무행정,의료기타직,접수·수납·예약,한의원","면접후 결정"
"28","BTL,이벤트대행,전시기획,컨벤션,프로모션대행사,레저,유지·보수·교체,청소·미화","면접후 결정"
"29","장애시설,생활지도사","회사내규에 따름"
"30","ERP,SI·시스템통합,SM,소프트웨어개발,ASP","면접후 결정"
"31","해상운송,무역사무","2,400~2,600만원"
"32","AS,유지보수,하드웨어,AS기사,설치·수리","2,200~2,400만원"
"33","IT·통신기기판매,가전판매,매장관리,매장판매,판매관리,휴대폰·MP3","3,400~3,600만원"
"34","식품·푸드,음식료,프랜차이즈,BM·브랜드매니저,CRM,광고,마케팅전략·기획,프로모션","회사내규에 따름"
"35","보습학원,영어학원,입시학원,영어,일반학원강사,전임강사,파트강사","면접후 결정"
"36","정형외과,간호조무사","2,200~2,400만원"
"37","음식료,바리스타·커피","회사내규에 따름"
"38","섬유,섬유·원단","회사내규에 따름"
"39","매니지먼트,엔터테인먼트,연예기획사,프로덕션,운동처방사,전문비서,호텔","면접후 결정"
"40","교육기관,HRD·HRM,교수설계,교육·인재개발,교육기획,교육상담·안내,교육진행,교재·컨텐츠개발,원생관리·유치,인사,채용·면접,평생교육사,프로그램상담,학원에이전트,학원운영","회사내규에 따름"
"41","어학원,영어학원,영어,영어회화,원어민·교포강사","면접후 결정"
"42","건설회사,외식·식품","면접후 결정"
"43","스파·찜질방,매니져,서비스,안내데스크,지배인,카운터,캐셔","2,000~2,200만원"
"44","기타제조업,고객상담,고객응대","회사내규에 따름"
"45","이비인후과,간호조무사","2,400~2,600만원"
"46","인터넷교육,Android앱개발,C#,C·C++,IOS앱개발,Java,게임개발,모바일게임","면접후 결정"
"47","일식당,횟집·초밥·스시,매니져,서비스,소믈리에·와인,홀서빙","회사내규에 따름"
"48","렌터카,세차장","2,000~2,200만원"
"49","매니지먼트,엔터테인먼트,연예기획사,프로덕션,경영기획,사업기획","면접후 결정"
"50","대형마트,백화점,쇼핑몰,현대백화점,홈플러스,매장관리,서비스,세차장","2,800~3,000만원"
"51","성형외과,바이어개발,바이어관리,바이어상담,번역,병원코디네이터,통역,해외마케팅,해외영업","면접후 결정"
"52","병원·진료,성형외과,병원코디네이터","면접후 결정"
"53","병원·진료,성형외과,CS,고객상담,고객응대,병원코디네이터","4,000~5,000만원"
"54","대형마트,백화점,쇼핑몰,현대백화점,홈플러스,서비스,세차장,지점관리","2,800~3,000만원"
"55","병원·진료,성형외과,콜센터상담","면접후 결정"
"56","DataMining,ERP,SCM,소프트웨어개발,솔루션업체,C·C++,IT컨설팅,Java,MES,SEM·SCM,VisualC·C++,시스템엔지니어(SE)","회사내규에 따름"
"57","내과,정형외과,임상병리사","면접후 결정"
"58","소프트웨어개발,솔루션업체,C·C++,DBA,HTML,Java,Java·JSP,데이타마이닝","회사내규에 따름"
"59","대형마트,백화점,현대백화점,홈플러스,세차장","2,800~3,000만원"
